nr_aluno,nome,apelido,curso,media_entrada,curso_concluido,media_final
20221550,Maria João,Castelo,Psicologia,17,1,10.0
2021774,Alice,Sampaio,Informática,11,1,19.0
200367,Anne,Machado,Psicologia,14,1,16.0
2021616,Avelino,da Silva,Comunicação,20,1,11.0
2003108,Marta,Castelo,Informática,11,1,17.0
20201547,Avelino,Pires,Comunicação,10,1,20.0
20191116,Jorge,Morais,Informática,13,1,17.0
202189,Pedro,Sampaio,Psicologia,15,1,16.0
20071409,Rita,Morais,Psicologia,14,1,16.0
2210000,Thomas Anderson,(Neo),Informática,20,1,20.0
2021133,Rita,Pereira,Informática,20,1,13.0
2003502,Rui,Laranjeira,Informática,11,1,20.0
20075396,Raquel,Silva,Informática,16,1,14.0
20201725,Olivia,Pereira,Psicologia,16,1,14.0
2022133,Ana,Silva,Informática,10,1,20.0
20031002,Diana,Pereira,Psicologia,12,1,20.0
2021794,Maria João,Morais,Informática,18,1,11.0
20201497,Christos,Sampaio,Informática,13,1,17.0
20201405,Christos,Morais,Comunicação,10,1,18.0
2022633,Michaelangelo,Machado,Comunicação,17,1,12.0
20071699,Olivia,Castelo-Branco,Comunicação,15,1,14.0
2007943,Miguel,Sampaio,Psicologia,18,1,11.0
2021998,Rita,da Silva,Informática,12,1,19.0
2007289,Rodrigo,Capicua,Informática,15,1,16.0
2020851,Sandra,Capicua,Comunicação,12,1,17.0
2007854,Anne,Castelo,Informática,16,1,14.0
20201362,Michaelangelo,Morais,Informática,12,1,17.0
20201534,Bruno,Castelo,Psicologia,11,1,18.0
2020813,Avelino,Morais,Informática,18,1,12.0
20211483,Maria João,Morais,Psicologia,12,1,18.0
20221671,Nuno,Silva,Informática,18,1,12.0
20071726,Carla,Machado,Comunicação,11,1,18.0
20071293,Joana,Cintra,Psicologia,10,1,17.0
20191155,Marta,Castelo-Branco,Psicologia,13,1,17.0
20071017,Avelino,Morais,Psicologia,14,1,16.0
20071533,Michaelangelo,Castelo,Informática,10,1,19.0
20211323,Patrícia,Capicua,Comunicação,12,1,20.0
20031315,Maria João,Pereira,Psicologia,15,1,15.0
2021905,Pedro,Pires,Psicologia,16,1,16.0
20201677,Beatriz,da Silva,Informática,10,1,19.0
2022741,Lucas,Castelo-Branco,Comunicação,15,1,14.0
20221355,Catarina,Pires,Psicologia,20,1,10.0
2022864,Catarina,Sampaio,Informática,19,1,13.0
2022334,Christos,Cintra,Informática,15,1,16.0
20071135,Rui,Silva,Psicologia,13,1,17.0
20031416,Ana,Laranjeira,Psicologia,15,1,15.0
20201440,Pedro,Laranjeira,Informática,11,1,20.0
202092,Lucas,Castelo-Branco,Psicologia,15,1,16.0
2022512,Joana,Sampaio,Psicologia,17,1,10.0
20221594,Jorge,Cintra,Informática,16,1,14.0
200397,Miguel,Castelo-Branco,Comunicação,16,1,15.0
2022141,Sandra,Laranjeira,Informática,18,1,13.0
20031013,Nuno,Capicua,Informática,12,1,19.0
20221113,Rita,Pires,Psicologia,11,1,18.0
20211495,Diana,Silva,Psicologia,17,1,13.0
20071587,Bruno,Morais,Psicologia,19,1,11.0
2021283,Lucas,Pires,Informática,10,1,18.0
202141,Rita,Cintra,Informática,14,1,16.0
2003177,Olivia,da Silva,Psicologia,10,1,18.0
2019960,Leonardo,Laranjeira,Psicologia,11,1,17.0
20201500,Ana,Castelo,Informática,11,1,19.0
2007511,Olivia,Sampaio,Psicologia,19,1,12.0
2019806,Joana,Machado,Comunicação,15,1,16.0
2021352,Pedro,Sampaio,Informática,11,1,19.0
2007947,Rui,Pereira,Psicologia,18,1,13.0
20221485,Raquel,da Silva,Comunicação,16,1,16.0
20191299,Rui,Sampaio,Comunicação,17,1,12.0
2022362,Avelino,Silva,Informática,19,1,10.0
2022801,Anne,da Silva,Comunicação,17,1,13.0
2021543,Maria João,Cintra,Psicologia,17,1,11.0
2022186,Bruno,Capicua,Informática,19,1,13.0
20191559,Olivia,Machado,Comunicação,20,1,11.0
20221384,Miguel,Cintra,Informática,13,1,19.0
2019792,Diana,Sampaio,Informática,20,1,13.0
20031290,Miguel,Castelo-Branco,Psicologia,14,1,15.0
2021291,Pedro,Morais,Psicologia,20,1,13.0
20211722,Lucas,Morais,Comunicação,15,1,16.0
2007248,Pedro,da Silva,Informática,19,1,13.0
20211314,Joana,Pires,Informática,12,1,17.0
2020850,Jorge,Laranjeira,Informática,17,1,13.0
2020485,Rui,Silva,Comunicação,13,1,19.0
2007928,Ana,Pereira,Comunicação,14,1,14.0
20071432,Olivia,Silva,Psicologia,17,1,12.0
20221441,Maria,Capicua,Comunicação,10,1,19.0
2022146,Maria,Laranjeira,Informática,19,1,10.0
2007558,Leonardo,Castelo,Informática,12,1,20.0
2007213,Rita,Castelo-Branco,Informática,19,1,12.0
2003768,Marta,Machado,Informática,16,1,14.0
2021814,Pedro,Laranjeira,Comunicação,12,1,19.0
2021751,Anne,Laranjeira,Comunicação,18,1,13.0
20201623,Anne,Castelo-Branco,Comunicação,11,1,18.0
20071027,Alice,Castelo,Informática,11,1,18.0
2020806,Ana,Castelo,Informática,14,1,15.0
2019256,Maria,da Silva,Informática,17,1,13.0
20201288,Pedro,Pires,Comunicação,15,1,16.0
2022914,Rodrigo,Laranjeira,Informática,14,1,15.0
2019188,Rita,Capicua,Comunicação,16,1,16.0
20201658,Patrícia,Silva,Informática,15,1,15.0
20221511,Rita,Cintra,Informática,13,1,18.0
20221313,Diana,da Silva,Informática,18,1,11.0
2021304,Bruno,Sampaio,Informática,12,1,17.0
20071564,Raquel,Morais,Informática,12,1,20.0
2003185,Joana,Sampaio,Informática,18,1,13.0
2021137034,Rodrigo,Laranjeira,Psicologia,15,1,16.0
2003522,Michaelangelo,Sampaio,Comunicação,19,1,12.0
2290110,Anakin Skywalker,(Lord Vader),Psicologia,20,1,20.0
20211356,Avelino,Capicua,Comunicação,20,1,11.0
20191721,Miguel,Laranjeira,Psicologia,14,1,14.0
2019156,Lucas,Cintra,Comunicação,11,1,18.0
20221346,Anne,Sampaio,Informática,10,1,19.0
2021229,Anne,Castelo,Psicologia,12,1,20.0
20191267,Maria João,Capicua,Psicologia,20,1,11.0
2003865,Jorge,Pires,Informática,20,1,12.0
2019845,Nuno,Laranjeira,Comunicação,16,1,14.0
20191018,Anne,Pereira,Informática,10,1,17.0
2003421,Nuno,Morais,Informática,12,1,20.0
2022129,Rui,Capicua,Psicologia,17,1,11.0
2007860,Olivia,Pires,Informática,11,1,20.0
2021961,Alice,Morais,Psicologia,17,1,13.0
2022845,Rita,Machado,Informática,12,1,19.0
20211283,Rui,Laranjeira,Comunicação,12,1,20.0
20221523,Michaelangelo,Machado,Informática,17,1,13.0
20211060,Ana,Pires,Psicologia,12,1,17.0
2003443,Rodrigo,Pereira,Psicologia,20,1,11.0
20201624,Lucas,Cintra,Comunicação,10,1,20.0
20071202,Miguel,Morais,Psicologia,10,1,17.0
2007927,Nuno,Pires,Informática,11,1,20.0
2020976,Miguel,Morais,Comunicação,14,1,15.0
2022170,Michaelangelo,Machado,Psicologia,13,1,18.0
20031198,Marta,Pereira,Comunicação,17,1,10.0
2021394,Rita,Cintra,Psicologia,10,1,18.0
2003994,Miguel,Morais,Comunicação,12,1,20.0
2003207,Alice,Castelo-Branco,Informática,17,1,13.0
20031556,Nuno,Laranjeira,Psicologia,15,1,15.0
2019133,Alice,Silva,Psicologia,16,1,16.0
20201663,Maria,Cintra,Comunicação,19,1,11.0
2021639,Michaelangelo,Castelo,Informática,17,1,10.0
20201003,Olivia,Morais,Psicologia,11,1,19.0
2021682,Christos,Machado,Informática,20,1,10.0
20191137,Nuno,Morais,Psicologia,13,1,19.0
2019295,Lucas,Pereira,Psicologia,17,1,13.0
20191009,Catarina,Silva,Psicologia,18,1,10.0
20191291,Rodrigo,Sampaio,Psicologia,17,1,12.0
2020972,Alice,da Silva,Informática,20,1,13.0
20071708,Patrícia,Castelo-Branco,Comunicação,10,1,19.0
200383840,Miguel,Capicua,Informática,14,1,15.0
20201161,Leonardo,Laranjeira,Comunicação,20,1,10.0
20211342,Carla,Sampaio,Comunicação,13,1,17.0
2021337,Anne,Capicua,Comunicação,14,1,14.0
20211741,Joana,Cintra,Informática,11,1,20.0
20191199,Catarina,Pereira,Informática,15,1,14.0
20071275,Rodrigo,Pereira,Informática,20,1,13.0
2021915,Maria João,Capicua,Psicologia,10,1,20.0
20031095,Christos,Cintra,Psicologia,17,1,13.0
2020206,Michaelangelo,Capicua,Psicologia,14,1,15.0
2022643,Anne,Castelo,Psicologia,17,1,10.0
2020648,Alice,Cintra,Psicologia,20,1,11.0
2020701,Lucas,Morais,Informática,13,1,19.0
2020719,Christos,Castelo,Psicologia,10,1,17.0
20211435,Bruno,Silva,Informática,18,1,12.0
2022307,Ana,Pereira,Comunicação,10,1,17.0
2021364,Rodrigo,Capicua,Psicologia,16,1,15.0
20221112,Christos,Capicua,Informática,11,1,20.0
20201426,Marta,da Silva,Psicologia,15,1,15.0
2020582,Alice,Silva,Psicologia,14,1,16.0
2003951,Carla,Pires,Informática,13,1,18.0
2019977,Sandra,da Silva,Comunicação,11,1,17.0
20221537,Lucas,Castelo,Comunicação,14,1,16.0
2022788,Michaelangelo,Sampaio,Psicologia,14,1,14.0
2022769,Nuno,Laranjeira,Comunicação,20,1,11.0
20191629,Maria,Sampaio,Comunicação,17,1,13.0
20201068,Pedro,Castelo,Comunicação,10,1,20.0
20221369,Marta,Castelo-Branco,Psicologia,11,1,20.0
20201347,Alice,Cintra,Psicologia,11,1,20.0
2020177,Rita,Sampaio,Informática,20,1,13.0
20201108,Leonardo,Machado,Psicologia,12,1,19.0
20031030,Lucas,Castelo,Informática,17,1,11.0
20031246,Nuno,Cintra,Comunicação,19,1,10.0
202226,Pedro,Sampaio,Psicologia,15,1,14.0
2003189,Rodrigo,Morais,Comunicação,10,1,19.0
20191283,Nuno,Castelo-Branco,Comunicação,10,1,17.0
20031401,Maria,Pires,Psicologia,11,1,18.0
2020845,Michaelangelo,Castelo-Branco,Psicologia,17,1,13.0
20071347,Nuno,Sampaio,Comunicação,14,1,16.0
201985,Ana,da Silva,Comunicação,17,1,13.0
2022571,Jorge,Morais,Informática,16,1,16.0
2021785,Nuno,Castelo-Branco,Comunicação,14,1,15.0
2003757,Carla,Machado,Psicologia,18,1,13.0
2003992,Lucas,Pereira,Psicologia,13,1,19.0
20211487,Michaelangelo,Castelo-Branco,Informática,16,1,15.0
20221382,Jorge,Morais,Psicologia,12,1,20.0
20221185,Marta,Silva,Informática,10,1,17.0
2020463,Catarina,Laranjeira,Informática,17,1,10.0
20191106,Sandra,Pires,Comunicação,18,1,12.0
2003858,Anne,Morais,Informática,11,1,20.0
20191535,Patrícia,Capicua,Psicologia,16,1,14.0
2022486,Michaelangelo,Castelo,Psicologia,10,1,20.0
2020599,Ana,Morais,Comunicação,13,1,20.0
20211482,Diana,Castelo,Comunicação,10,1,17.0
20201442,Raquel,Laranjeira,Psicologia,15,1,16.0
2003359,Sandra,Machado,Psicologia,16,1,14.0
20201258,Rita,Castelo-Branco,Comunicação,11,1,18.0
20221268,Avelino,Sampaio,Comunicação,10,1,18.0
2022560,Joana,da Silva,Psicologia,13,1,18.0
2021925,Leonardo,Silva,Informática,13,1,20.0
2021382,Rui,Cintra,Comunicação,17,1,13.0
2210100,Luke,Skywalker,Comunicação,20,1,20.0
2007806,Catarina,Castelo,Psicologia,19,1,11.0
20221030,Lucas,Morais,Informática,16,1,15.0
20201545,Leonardo,Sampaio,Psicologia,15,1,15.0
20221462,Catarina,Machado,Informática,13,1,18.0
20191507,Joana,da Silva,Informática,20,1,10.0
2007791,Alice,Pereira,Informática,16,1,15.0
2022402,Christos,Pires,Psicologia,18,1,10.0
202017406,Miguel,Castelo,Psicologia,16,1,16.0
200758,Beatriz,da Silva,Psicologia,17,1,13.0
2021206,Maria João,Morais,Comunicação,12,1,19.0
20031237,Rui,Pereira,Informática,16,1,14.0
2020412,Maria João,Silva,Informática,11,1,18.0
202219,Christos,Machado,Comunicação,20,1,11.0
2007829,Michaelangelo,Castelo-Branco,Psicologia,13,1,19.0
2019506,Sandra,Pires,Comunicação,14,1,16.0
20221244,Miguel,da Silva,Comunicação,17,1,11.0
2022726,Bruno,Cintra,Informática,18,1,11.0
2021225,Avelino,Sampaio,Psicologia,14,1,15.0
2007720,Marta,Silva,Informática,20,1,13.0
20221037,Sandra,Morais,Informática,14,1,15.0
20031281,Pedro,Castelo,Comunicação,12,1,20.0
2007685,Rita,Cintra,Comunicação,13,1,20.0
20031334,Carla,Pereira,Informática,19,1,11.0
2007594,Miguel,Castelo-Branco,Comunicação,15,1,16.0
2021170,Jorge,Capicua,Informática,14,1,15.0
2020458,Ana,Capicua,Psicologia,18,1,13.0
2007495,Jorge,Cintra,Informática,15,1,14.0
20191472,Lucas,Silva,Informática,14,1,15.0
20201243,Joana,Cintra,Informática,10,1,17.0
2020194,Joana,Silva,Psicologia,10,1,18.0
2020993,Lucas,Machado,Comunicação,19,1,13.0
20221359,Rodrigo,da Silva,Informática,11,1,17.0
2019705,Michaelangelo,Laranjeira,Informática,15,1,16.0
2022804,Catarina,Castelo-Branco,Informática,11,1,20.0
20071246,Rodrigo,da Silva,Psicologia,12,1,19.0
20191466,Nuno,Castelo,Comunicação,15,1,14.0
20221251,Maria,Machado,Informática,14,1,15.0
2021968,Sandra,Silva,Comunicação,12,1,18.0
20221189,Anne,Pires,Comunicação,17,1,12.0
2003419,Avelino,Pereira,Psicologia,17,1,13.0
201934,Michaelangelo,Castelo,Psicologia,14,1,16.0
2021459,Jorge,Capicua,Psicologia,14,1,16.0
2021419,Rodrigo,Sampaio,Psicologia,13,1,19.0
2003173,Bruno,Capicua,Informática,17,1,10.0
20221057,Rodrigo,Morais,Psicologia,14,1,14.0
20071044,Jorge,Castelo,Informática,16,1,14.0
2007699,Rodrigo,Castelo,Psicologia,13,1,19.0
20211343,Carla,da Silva,Psicologia,14,1,15.0
20201383,Jorge,Laranjeira,Informática,20,1,13.0
202070,Maria,Castelo-Branco,Comunicação,20,1,12.0
20221457,Maria João,Pereira,Informática,12,1,18.0
20221126,Miguel,Morais,Comunicação,14,1,16.0
2020190,Patrícia,Castelo-Branco,Comunicação,10,1,19.0
2022523,Ana,Machado,Psicologia,12,1,19.0
20191519,Jorge,Machado,Comunicação,20,1,10.0
20201583,Michaelangelo,Castelo,Psicologia,12,1,19.0
2021499,Olivia,Pires,Informática,19,1,10.0
2003269,Joana,Morais,Comunicação,15,1,16.0
2022346,Maria,da Silva,Informática,19,1,13.0
20191708,Sandra,Silva,Comunicação,12,1,19.0
20221681,Carla,da Silva,Comunicação,20,1,12.0
2020483,Diana,Castelo-Branco,Comunicação,13,1,20.0
200315,Anne,Morais,Psicologia,14,1,16.0
20201253,Lucas,Pereira,Informática,11,1,19.0
2020904,Carla,Castelo,Comunicação,14,1,16.0
2022451,Jorge,Silva,Comunicação,18,1,13.0
20071618,Miguel,Cintra,Psicologia,11,1,20.0
20191311,Leonardo,Silva,Comunicação,11,1,17.0
2007529,Sandra,Machado,Informática,13,1,17.0
200779,Sandra,Castelo,Comunicação,19,1,11.0
20221574,Rita,Cintra,Psicologia,13,1,20.0
20201205,Alice,Sampaio,Comunicação,20,1,10.0
2022299,Avelino,Castelo-Branco,Psicologia,13,1,18.0
20071579,Avelino,Capicua,Informática,16,1,16.0
2019572,Marta,Pires,Psicologia,10,1,17.0
200776,Anne,Sampaio,Comunicação,11,1,20.0
20071451,Pedro,Sampaio,Psicologia,20,1,10.0
200371237,Lucas,Machado,Psicologia,11,1,18.0
2022666,Beatriz,Morais,Informática,14,1,15.0
20201223,Nuno,Pires,Psicologia,19,1,12.0
200759,Joana,Castelo-Branco,Psicologia,19,1,10.0
2007491,Miguel,Capicua,Comunicação,17,1,12.0
20211158,Miguel,Silva,Informática,19,1,12.0
20191426,Lucas,da Silva,Psicologia,11,1,19.0
20211633,Leonardo,da Silva,Psicologia,18,1,10.0
2022193,Rodrigo,Capicua,Psicologia,19,1,12.0
20191045,Rodrigo,Sampaio,Comunicação,11,1,19.0
20201428,Pedro,Castelo,Informática,13,1,19.0
20211637,Pedro,Silva,Informática,12,1,18.0
2003490,Rita,Castelo-Branco,Psicologia,20,1,11.0
2021537,Nuno,Laranjeira,Informática,10,1,18.0
200331,Beatriz,Castelo,Comunicação,19,1,12.0
20071288,Rita,Silva,Comunicação,13,1,18.0
20221654,Nuno,Castelo,Psicologia,11,1,19.0
2020553,Leonardo,Sampaio,Comunicação,13,1,20.0
20031408,Rui,Castelo,Informática,10,1,18.0
20221300,Beatriz,Silva,Comunicação,20,1,11.0
2003988,Rodrigo,Sampaio,Psicologia,13,1,20.0
2003241,Catarina,Machado,Informática,11,1,18.0
2019503,Catarina,Sampaio,Psicologia,17,1,10.0
2022710,Olivia,Capicua,Informática,20,1,10.0
2022184,Rita,Pereira,Psicologia,10,1,18.0
2019388,Beatriz,Cintra,Psicologia,11,1,19.0
20071512,Maria,Cintra,Informática,17,1,13.0
20191197,Maria João,Morais,Psicologia,16,1,15.0
20201080,Alice,Silva,Informática,10,1,18.0
2007322,Beatriz,Castelo-Branco,Informática,11,1,17.0
20211456,Avelino,Castelo,Informática,19,1,10.0
2007321,Patrícia,Pires,Psicologia,19,1,10.0
2003255,Michaelangelo,Silva,Comunicação,12,1,18.0
20071343,Rita,Castelo-Branco,Informática,17,1,11.0
20071244,Rita,Castelo-Branco,Informática,11,1,20.0
20221624,Anne,Pires,Informática,19,1,13.0
20221600,Pedro,Castelo,Informática,10,1,20.0
2021890,Avelino,Sampaio,Comunicação,10,1,20.0
2003708,Maria,Pereira,Comunicação,14,1,14.0
20201730,Maria,Castelo,Psicologia,16,1,15.0
2019927,Bruno,Morais,Comunicação,19,1,13.0
20071464,Maria,Pires,Comunicação,20,1,12.0
2021738,Jorge,Morais,Psicologia,17,1,12.0
20221101,Bruno,Machado,Psicologia,20,1,12.0
2021239,Anne,Castelo,Comunicação,14,1,14.0
20211227,Christos,Capicua,Informática,13,1,17.0
2003270,Joana,Castelo-Branco,Psicologia,14,1,15.0
20211628,Leonardo,Laranjeira,Informática,12,1,20.0
20221442,Carla,Sampaio,Psicologia,16,1,15.0
2021254,Jorge,Cintra,Psicologia,20,1,13.0
20221701,Avelino,Castelo-Branco,Comunicação,15,1,14.0
202056,Ana,Castelo-Branco,Informática,15,1,15.0
2020757,Olivia,Silva,Informática,20,1,10.0
200771929,Rodrigo,Sampaio,Psicologia,11,1,17.0
200335,Diana,Morais,Psicologia,14,1,15.0
2007895,Beatriz,Morais,Psicologia,19,1,12.0
2020187,Rodrigo,Castelo-Branco,Comunicação,19,1,12.0
20211692,Lucas,da Silva,Psicologia,15,1,15.0
2007660,Marta,Silva,Informática,17,1,13.0
20031046,Sandra,da Silva,Informática,13,1,20.0
20221118,Alice,Castelo,Comunicação,18,1,12.0
2020964,Pedro,Laranjeira,Informática,20,1,13.0
2007214,Jorge,Castelo,Comunicação,12,1,20.0
2003217,Anne,Pires,Informática,18,1,11.0
2019422,Christos,Laranjeira,Psicologia,19,1,10.0
20201458,Miguel,Silva,Psicologia,20,1,13.0
2019354,Beatriz,Machado,Psicologia,20,1,13.0
20191115,Michaelangelo,Machado,Psicologia,10,1,19.0
201993819,Marta,Morais,Informática,10,1,18.0
20031230,Patrícia,Sampaio,Comunicação,15,1,15.0
20221440,Sandra,Cintra,Informática,14,1,14.0
2007191,Rui,Silva,Informática,13,1,18.0
20191375,Sandra,Laranjeira,Comunicação,16,1,15.0
2021597,Anne,Capicua,Psicologia,11,1,17.0
2003513,Miguel,Sampaio,Psicologia,14,1,15.0
2020147,Michaelangelo,Pires,Comunicação,20,1,11.0
2021879,Ana,Castelo-Branco,Informática,14,1,16.0
2007519,Lucas,Laranjeira,Informática,13,1,17.0
2007521,Beatriz,Sampaio,Informática,18,1,10.0
2022301,Leonardo,Sampaio,Psicologia,18,1,12.0
20031328,Michaelangelo,Machado,Informática,10,1,18.0
2003775,Catarina,Pires,Comunicação,20,1,10.0
2019732,Rui,Laranjeira,Informática,18,1,10.0
2022347,Anne,Cintra,Comunicação,19,1,12.0
20191527,Maria,Machado,Comunicação,12,1,18.0
2003438,Catarina,Pereira,Informática,11,1,17.0
20221224,Maria João,Cintra,Informática,13,1,20.0
2020830,Olivia,Machado,Psicologia,10,1,20.0
20191432,Raquel,da Silva,Psicologia,19,1,12.0
2022146725,Rita,Cintra,Psicologia,15,1,16.0
20221115,Pedro,Castelo,Psicologia,15,1,15.0
2022462,Alice,Laranjeira,Psicologia,12,1,18.0
2020368,Catarina,Capicua,Psicologia,10,1,20.0
2021864,Lucas,Silva,Comunicação,13,1,20.0
2020704,Pedro,Capicua,Psicologia,14,1,15.0
20221205,Sandra,Castelo,Psicologia,10,1,17.0
20211507,Sandra,Cintra,Comunicação,18,1,11.0
2021670,Michaelangelo,Capicua,Comunicação,14,1,14.0
2022313,Alice,Morais,Psicologia,17,1,11.0
2021484,Avelino,Sampaio,Informática,10,1,19.0
2003885,Bruno,da Silva,Informática,16,1,14.0
2022233,Ana,Machado,Psicologia,19,1,13.0
20201049,Maria João,Sampaio,Informática,13,1,20.0
20211305,Raquel,Silva,Comunicação,11,1,20.0
20211131,Lucas,Silva,Comunicação,19,1,13.0
20191740,Rui,Silva,Psicologia,12,1,17.0
20071670,Anne,Castelo-Branco,Psicologia,19,1,13.0
2022682,Rita,Pires,Informática,20,1,13.0
2020120,Ana,Pires,Informática,18,1,13.0
2007948,Maria João,Laranjeira,Comunicação,10,1,19.0
20201410,Ana,Castelo-Branco,Comunicação,12,1,19.0
2019996,Anne,Pereira,Informática,15,1,15.0
2019101,Miguel,Pires,Informática,14,1,15.0
20211477,Patrícia,Morais,Psicologia,20,1,10.0
2007932,Bruno,Pereira,Comunicação,18,1,11.0
20211439,Joana,Morais,Informática,10,1,19.0
20071725,Rodrigo,Morais,Informática,10,1,17.0
2021298,Rodrigo,Cintra,Psicologia,18,1,11.0
2022554,Rodrigo,Morais,Comunicação,18,1,13.0
20211308,Lucas,Silva,Psicologia,14,1,15.0
2003571,Rui,Castelo,Informática,10,1,17.0
20221530,Rita,Morais,Informática,20,1,11.0
20031680,Jorge,Sampaio,Informática,16,1,14.0
2019338,Christos,Pereira,Informática,14,1,15.0
2003231,Sandra,Laranjeira,Psicologia,19,1,10.0
20071264,Sandra,da Silva,Informática,20,1,13.0
2003814,Rodrigo,da Silva,Informática,13,1,18.0
2021819,Michaelangelo,Pires,Psicologia,17,1,12.0
20191177,Marta,Capicua,Comunicação,17,1,13.0
20191543,Avelino,da Silva,Comunicação,11,1,18.0
20071711,Leonardo,Sampaio,Psicologia,17,1,12.0
2007820,Pedro,Castelo-Branco,Informática,17,1,12.0
2019596,Olivia,Castelo-Branco,Psicologia,20,1,10.0
20211043,Lucas,Castelo-Branco,Informática,20,1,12.0
2003962,Bruno,Castelo-Branco,Informática,19,1,13.0
2022119,Jorge,Capicua,Informática,11,1,19.0
202121,Diana,Silva,Comunicação,16,1,15.0
2021152,Jorge,Castelo,Comunicação,19,1,13.0
20191121,Raquel,Silva,Informática,20,1,11.0
2021485,Marta,Laranjeira,Informática,12,1,19.0
2020888,Anne,Sampaio,Informática,20,1,12.0
2003232,Leonardo,da Silva,Informática,17,1,11.0
20031158,Maria,Machado,Psicologia,18,1,11.0
20201729,Nuno,da Silva,Psicologia,18,1,13.0
2019900,Patrícia,Machado,Informática,12,1,18.0
2020489,Miguel,Machado,Psicologia,14,1,15.0
2003154,Rita,Pires,Psicologia,16,1,16.0
2003364,Michaelangelo,Pires,Psicologia,17,1,12.0
2022903,Rodrigo,da Silva,Comunicação,10,1,18.0
202054,Maria João,Castelo,Psicologia,17,1,12.0
20201332,Beatriz,Morais,Informática,14,1,14.0
20211603,Jorge,Castelo,Psicologia,15,1,14.0
20221065,Leonardo,Laranjeira,Comunicação,19,1,11.0
2021538,Joana,Pires,Informática,13,1,18.0
202011985,Maria João,Cintra,Informática,11,1,20.0
2007643,Diana,Morais,Informática,18,1,10.0
20031184,Catarina,Castelo-Branco,Comunicação,17,1,13.0
20071448,Maria João,Silva,Psicologia,20,1,10.0
202011493,Raquel,Morais,Psicologia,12,1,19.0
2022165143,Pedro,Pires,Informática,14,1,16.0
20191541,Rodrigo,Castelo-Branco,Comunicação,14,1,16.0
2019511,Christos,Castelo-Branco,Comunicação,16,1,16.0
2020118,Lucas,Machado,Informática,10,1,18.0
